,Names,Prices,Ratings
0,"REDMI 11 Prime (Flashy Black, 128 GB)","₹10,749",4.4
1,"REDMI 11 Prime (Peppy Purple, 128 GB)","₹10,749",4.4
2,"REDMI 12 (Jade Black, 128 GB)","₹9,999",4.3
3,"REDMI 11 Prime (Peppy Purple, 64 GB)","₹8,999",4.2
4,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)","₹23,999",4.4
5,"REDMI 11 Prime (Playful Green, 128 GB)","₹10,749",4.2
6,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹23,999",4.2
7,"REDMI A1+ (Light Green, 32 GB)","₹6,299",4.1
8,"REDMI A2 (Aqua Blue, 64 GB)","₹7,580",4.0
9,"REDMI A2 (Sea Green, 64 GB)","₹6,780",4.2
