,Names,Prices,Ratings
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,599",4.3
1,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,599",4.3
2,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹7,099",4.2
3,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,599",4.3
4,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999",4.3
5,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹10,599",4.3
6,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999",4.3
7,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,990",4.2
8,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹10,599",4.3
9,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹13,990",4.2
